Product Name,Category,Price,Units Sold,Revenue,Cost,Date,Region
Penne Alfredo,Pasta,169.0,55,9295.0,80.0,2025-12-11,Hyderabad
Penne Alfredo,Pasta,149.0,75,11175.0,80.0,2025-12-11,Pune
Chicken Biryani,Biryani,219.0,85,18615.0,100.0,2025-12-12,Chennai
Chicken Biryani,Biryani,189.0,132,24948.0,100.0,2025-12-12,Bangalore
Chicken Biryani,Biryani,219.0,52,11388.0,100.0,2025-12-12,Mumbai
Chicken Biryani,Biryani,189.0,120,22680.0,100.0,2025-12-12,Delhi
Chicken Biryani,Biryani,189.0,108,20412.0,100.0,2025-12-12,Hyderabad
Chicken Biryani,Biryani,209.0,88,18392.0,100.0,2025-12-12,Pune
Margherita Pizza,Pizza,259.0,77,19943.0,120.0,2025-12-12,Chennai
Margherita Pizza,Pizza,249.0,57,14193.0,120.0,2025-12-12,Bangalore
Margherita Pizza,Pizza,269.0,69,18561.0,120.0,2025-12-12,Mumbai
Margherita Pizza,Pizza,239.0,92,21988.0,120.0,2025-12-12,Delhi
Margherita Pizza,Pizza,249.0,99,24651.0,120.0,2025-12-12,Hyderabad
Margherita Pizza,Pizza,229.0,86,19694.0,120.0,2025-12-12,Pune
Veggie Burger,Burger,79.0,130,10270.0,45.0,2025-12-12,Chennai
Veggie Burger,Burger,69.0,163,11247.0,45.0,2025-12-12,Bangalore
Veggie Burger,Burger,89.0,144,12816.0,45.0,2025-12-12,Mumbai
Veggie Burger,Burger,99.0,115,11385.0,45.0,2025-12-12,Delhi
Veggie Burger,Burger,89.0,116,10324.0,45.0,2025-12-12,Hyderabad
Veggie Burger,Burger,69.0,189,13041.0,45.0,2025-12-12,Pune
Hakka Noodles,Chinese,119.0,76,9044.0,60.0,2025-12-12,Chennai
Hakka Noodles,Chinese,149.0,67,9983.0,60.0,2025-12-12,Bangalore
Hakka Noodles,Chinese,129.0,61,7869.0,60.0,2025-12-12,Mumbai
Hakka Noodles,Chinese,119.0,71,8449.0,60.0,2025-12-12,Delhi
Hakka Noodles,Chinese,139.0,59,8201.0,60.0,2025-12-12,Hyderabad
Hakka Noodles,Chinese,139.0,49,6811.0,60.0,2025-12-12,Pune
Salmon Sushi,Sushi,439.0,25,10975.0,220.0,2025-12-12,Chennai
Salmon Sushi,Sushi,419.0,25,10475.0,220.0,2025-12-12,Bangalore
Salmon Sushi,Sushi,429.0,24,10296.0,220.0,2025-12-12,Mumbai
Salmon Sushi,Sushi,419.0,24,10056.0,220.0,2025-12-12,Delhi
Salmon Sushi,Sushi,419.0,19,7961.0,220.0,2025-12-12,Hyderabad
Salmon Sushi,Sushi,449.0,22,9878.0,220.0,2025-12-12,Pune
Penne Alfredo,Pasta,189.0,44,8316.0,80.0,2025-12-12,Chennai
Penne Alfredo,Pasta,169.0,46,7774.0,80.0,2025-12-12,Bangalore
Penne Alfredo,Pasta,189.0,45,8505.0,80.0,2025-12-12,Mumbai
Penne Alfredo,Pasta,179.0,52,9308.0,80.0,2025-12-12,Delhi
Penne Alfredo,Pasta,189.0,59,11151.0,80.0,2025-12-12,Hyderabad
Penne Alfredo,Pasta,179.0,50,8950.0,80.0,2025-12-12,Pune
Chicken Biryani,Biryani,199.0,137,27263.0,100.0,2025-12-13,Chennai
Chicken Biryani,Biryani,189.0,141,26649.0,100.0,2025-12-13,Bangalore
Chicken Biryani,Biryani,189.0,102,19278.0,100.0,2025-12-13,Mumbai
Chicken Biryani,Biryani,219.0,114,24966.0,100.0,2025-12-13,Delhi
Chicken Biryani,Biryani,209.0,124,25916.0,100.0,2025-12-13,Hyderabad
Chicken Biryani,Biryani,179.0,212,37948.0,100.0,2025-12-13,Pune
Margherita Pizza,Pizza,229.0,121,27709.0,120.0,2025-12-13,Chennai
Margherita Pizza,Pizza,229.0,131,29999.0,120.0,2025-12-13,Bangalore
Margherita Pizza,Pizza,239.0,116,27724.0,120.0,2025-12-13,Mumbai
Margherita Pizza,Pizza,239.0,96,22944.0,120.0,2025-12-13,Delhi
Margherita Pizza,Pizza,259.0,119,30821.0,120.0,2025-12-13,Hyderabad
Margherita Pizza,Pizza,269.0,106,28514.0,120.0,2025-12-13,Pune
Veggie Burger,Burger,69.0,263,18147.0,45.0,2025-12-13,Chennai
Veggie Burger,Burger,99.0,127,12573.0,45.0,2025-12-13,Bangalore
Veggie Burger,Burger,99.0,178,17622.0,45.0,2025-12-13,Mumbai
Veggie Burger,Burger,109.0,102,11118.0,45.0,2025-12-13,Delhi
Veggie Burger,Burger,99.0,160,15840.0,45.0,2025-12-13,Hyderabad
Veggie Burger,Burger,109.0,172,18748.0,45.0,2025-12-13,Pune
Hakka Noodles,Chinese,129.0,77,9933.0,60.0,2025-12-13,Chennai
Hakka Noodles,Chinese,149.0,71,10579.0,60.0,2025-12-13,Bangalore
Hakka Noodles,Chinese,109.0,111,12099.0,60.0,2025-12-13,Mumbai
Hakka Noodles,Chinese,109.0,101,11009.0,60.0,2025-12-13,Delhi
Hakka Noodles,Chinese,149.0,60,8940.0,60.0,2025-12-13,Hyderabad
Hakka Noodles,Chinese,129.0,92,11868.0,60.0,2025-12-13,Pune
Salmon Sushi,Sushi,429.0,27,11583.0,220.0,2025-12-13,Chennai
Salmon Sushi,Sushi,409.0,36,14724.0,220.0,2025-12-13,Bangalore
Salmon Sushi,Sushi,429.0,28,12012.0,220.0,2025-12-13,Mumbai
Salmon Sushi,Sushi,439.0,39,17121.0,220.0,2025-12-13,Delhi
Salmon Sushi,Sushi,419.0,29,12151.0,220.0,2025-12-13,Hyderabad
Salmon Sushi,Sushi,439.0,30,13170.0,220.0,2025-12-13,Pune
Penne Alfredo,Pasta,149.0,92,13708.0,80.0,2025-12-13,Chennai
Penne Alfredo,Pasta,169.0,57,9633.0,80.0,2025-12-13,Bangalore
Penne Alfredo,Pasta,189.0,64,12096.0,80.0,2025-12-13,Mumbai
Penne Alfredo,Pasta,159.0,90,14310.0,80.0,2025-12-13,Delhi
Penne Alfredo,Pasta,189.0,47,8883.0,80.0,2025-12-13,Hyderabad
Penne Alfredo,Pasta,149.0,84,12516.0,80.0,2025-12-13,Pune
Chicken Biryani,Biryani,199.0,149,29651.0,100.0,2025-12-14,Chennai
Chicken Biryani,Biryani,219.0,139,30441.0,100.0,2025-12-14,Bangalore
Chicken Biryani,Biryani,219.0,101,22119.0,100.0,2025-12-14,Mumbai
Chicken Biryani,Biryani,189.0,124,23436.0,100.0,2025-12-14,Delhi
Chicken Biryani,Biryani,189.0,167,31563.0,100.0,2025-12-14,Hyderabad
Chicken Biryani,Biryani,199.0,150,29850.0,100.0,2025-12-14,Pune
Margherita Pizza,Pizza,239.0,131,31309.0,120.0,2025-12-14,Chennai
Margherita Pizza,Pizza,269.0,108,29052.0,120.0,2025-12-14,Bangalore
Margherita Pizza,Pizza,269.0,93,25017.0,120.0,2025-12-14,Mumbai
Margherita Pizza,Pizza,229.0,140,32060.0,120.0,2025-12-14,Delhi
Margherita Pizza,Pizza,269.0,108,29052.0,120.0,2025-12-14,Hyderabad
Margherita Pizza,Pizza,249.0,105,26145.0,120.0,2025-12-14,Pune
Veggie Burger,Burger,99.0,204,20196.0,45.0,2025-12-14,Chennai
Veggie Burger,Burger,69.0,273,18837.0,45.0,2025-12-14,Bangalore
Veggie Burger,Burger,69.0,209,14421.0,45.0,2025-12-14,Mumbai
Veggie Burger,Burger,89.0,201,17889.0,45.0,2025-12-14,Delhi
Veggie Burger,Burger,89.0,156,13884.0,45.0,2025-12-14,Hyderabad
Veggie Burger,Burger,79.0,239,18881.0,45.0,2025-12-14,Pune
Hakka Noodles,Chinese,109.0,139,15151.0,60.0,2025-12-14,Chennai
Hakka Noodles,Chinese,119.0,94,11186.0,60.0,2025-12-14,Bangalore
Hakka Noodles,Chinese,149.0,96,14304.0,60.0,2025-12-14,Mumbai
Hakka Noodles,Chinese,109.0,126,13734.0,60.0,2025-12-14,Delhi
Hakka Noodles,Chinese,109.0,133,14497.0,60.0,2025-12-14,Hyderabad
Hakka Noodles,Chinese,139.0,117,16263.0,60.0,2025-12-14,Pune
Salmon Sushi,Sushi,409.0,35,14315.0,220.0,2025-12-14,Chennai
Salmon Sushi,Sushi,449.0,30,13470.0,220.0,2025-12-14,Bangalore
Salmon Sushi,Sushi,419.0,31,12989.0,220.0,2025-12-14,Mumbai
Salmon Sushi,Sushi,419.0,31,12989.0,220.0,2025-12-14,Delhi
Salmon Sushi,Sushi,439.0,34,14926.0,220.0,2025-12-14,Hyderabad
Salmon Sushi,Sushi,449.0,35,15715.0,220.0,2025-12-14,Pune
Penne Alfredo,Pasta,159.0,85,13515.0,80.0,2025-12-14,Chennai
Penne Alfredo,Pasta,169.0,86,14534.0,80.0,2025-12-14,Bangalore
Penne Alfredo,Pasta,189.0,67,12663.0,80.0,2025-12-14,Mumbai
Penne Alfredo,Pasta,189.0,81,15309.0,80.0,2025-12-14,Delhi
Penne Alfredo,Pasta,179.0,68,12172.0,80.0,2025-12-14,Hyderabad
Penne Alfredo,Pasta,159.0,115,18285.0,80.0,2025-12-14,Pune
Chicken Biryani,Biryani,219.0,94,20586.0,100.0,2025-12-15,Chennai
Chicken Biryani,Biryani,189.0,94,17766.0,100.0,2025-12-15,Bangalore
Chicken Biryani,Biryani,199.0,83,16517.0,100.0,2025-12-15,Mumbai
Chicken Biryani,Biryani,209.0,99,20691.0,100.0,2025-12-15,Delhi
Chicken Biryani,Biryani,199.0,96,19104.0,100.0,2025-12-15,Hyderabad
Chicken Biryani,Biryani,209.0,102,21318.0,100.0,2025-12-15,Pune
Margherita Pizza,Pizza,269.0,77,20713.0,120.0,2025-12-15,Chennai
Margherita Pizza,Pizza,259.0,75,19425.0,120.0,2025-12-15,Bangalore
Margherita Pizza,Pizza,229.0,82,18778.0,120.0,2025-12-15,Mumbai
Margherita Pizza,Pizza,239.0,68,16252.0,120.0,2025-12-15,Delhi
Margherita Pizza,Pizza,239.0,82,19598.0,120.0,2025-12-15,Hyderabad
Margherita Pizza,Pizza,229.0,106,24274.0,120.0,2025-12-15,Pune
Veggie Burger,Burger,89.0,131,11659.0,45.0,2025-12-15,Chennai
Veggie Burger,Burger,69.0,143,9867.0,45.0,2025-12-15,Bangalore
Veggie Burger,Burger,109.0,100,10900.0,45.0,2025-12-15,Mumbai
Veggie Burger,Burger,109.0,103,11227.0,45.0,2025-12-15,Delhi
Veggie Burger,Burger,79.0,128,10112.0,45.0,2025-12-15,Hyderabad
Veggie Burger,Burger,109.0,100,10900.0,45.0,2025-12-15,Pune
Hakka Noodles,Chinese,119.0,75,8925.0,60.0,2025-12-15,Chennai
Hakka Noodles,Chinese,109.0,68,7412.0,60.0,2025-12-15,Bangalore
Hakka Noodles,Chinese,109.0,87,9483.0,60.0,2025-12-15,Mumbai
Hakka Noodles,Chinese,109.0,89,9701.0,60.0,2025-12-15,Delhi
Hakka Noodles,Chinese,119.0,87,10353.0,60.0,2025-12-15,Hyderabad
Hakka Noodles,Chinese,109.0,95,10355.0,60.0,2025-12-15,Pune
Salmon Sushi,Sushi,409.0,20,8180.0,220.0,2025-12-15,Chennai
Salmon Sushi,Sushi,429.0,21,9009.0,220.0,2025-12-15,Bangalore
Salmon Sushi,Sushi,409.0,27,11043.0,220.0,2025-12-15,Mumbai
Salmon Sushi,Sushi,449.0,25,11225.0,220.0,2025-12-15,Delhi
Salmon Sushi,Sushi,419.0,26,10894.0,220.0,2025-12-15,Hyderabad
Salmon Sushi,Sushi,429.0,38,16302.0,220.0,2025-12-15,Pune
Penne Alfredo,Pasta,179.0,54,9666.0,80.0,2025-12-15,Chennai
Penne Alfredo,Pasta,159.0,67,10653.0,80.0,2025-12-15,Bangalore
Penne Alfredo,Pasta,189.0,53,10017.0,80.0,2025-12-15,Mumbai
Penne Alfredo,Pasta,159.0,62,9858.0,80.0,2025-12-15,Delhi
Penne Alfredo,Pasta,189.0,44,8316.0,80.0,2025-12-15,Hyderabad
Penne Alfredo,Pasta,189.0,51,9639.0,80.0,2025-12-15,Pune
Chicken Biryani,Biryani,209.0,82,17138.0,100.0,2025-12-16,Chennai
Chicken Biryani,Biryani,189.0,104,19656.0,100.0,2025-12-16,Bangalore
Chicken Biryani,Biryani,209.0,86,17974.0,100.0,2025-12-16,Mumbai
Chicken Biryani,Biryani,209.0,94,19646.0,100.0,2025-12-16,Delhi
Chicken Biryani,Biryani,189.0,145,27405.0,100.0,2025-12-16,Hyderabad
Chicken Biryani,Biryani,179.0,84,15036.0,100.0,2025-12-16,Pune
Margherita Pizza,Pizza,229.0,104,23816.0,120.0,2025-12-16,Chennai
Margherita Pizza,Pizza,259.0,58,15022.0,120.0,2025-12-16,Bangalore
Margherita Pizza,Pizza,249.0,76,18924.0,120.0,2025-12-16,Mumbai
Margherita Pizza,Pizza,259.0,89,23051.0,120.0,2025-12-16,Delhi
Margherita Pizza,Pizza,259.0,77,19943.0,120.0,2025-12-16,Hyderabad
Margherita Pizza,Pizza,259.0,64,16576.0,120.0,2025-12-16,Pune
Veggie Burger,Burger,69.0,158,10902.0,45.0,2025-12-16,Chennai
Veggie Burger,Burger,69.0,195,13455.0,45.0,2025-12-16,Bangalore
Veggie Burger,Burger,69.0,157,10833.0,45.0,2025-12-16,Mumbai
Veggie Burger,Burger,99.0,114,11286.0,45.0,2025-12-16,Delhi
Veggie Burger,Burger,89.0,128,11392.0,45.0,2025-12-16,Hyderabad
Veggie Burger,Burger,69.0,159,10971.0,45.0,2025-12-16,Pune
Hakka Noodles,Chinese,119.0,99,11781.0,60.0,2025-12-16,Chennai
Hakka Noodles,Chinese,119.0,82,9758.0,60.0,2025-12-16,Bangalore
Hakka Noodles,Chinese,119.0,52,6188.0,60.0,2025-12-16,Mumbai
Hakka Noodles,Chinese,149.0,60,8940.0,60.0,2025-12-16,Delhi
Hakka Noodles,Chinese,139.0,57,7923.0,60.0,2025-12-16,Hyderabad
Hakka Noodles,Chinese,119.0,84,9996.0,60.0,2025-12-16,Pune
Salmon Sushi,Sushi,439.0,21,9219.0,220.0,2025-12-16,Chennai
Salmon Sushi,Sushi,419.0,24,10056.0,220.0,2025-12-16,Bangalore
Salmon Sushi,Sushi,429.0,26,11154.0,220.0,2025-12-16,Mumbai
Salmon Sushi,Sushi,439.0,27,11853.0,220.0,2025-12-16,Delhi
Salmon Sushi,Sushi,419.0,20,8380.0,220.0,2025-12-16,Hyderabad
Salmon Sushi,Sushi,409.0,24,9816.0,220.0,2025-12-16,Pune
Penne Alfredo,Pasta,179.0,46,8234.0,80.0,2025-12-16,Chennai
Penne Alfredo,Pasta,189.0,42,7938.0,80.0,2025-12-16,Bangalore
Penne Alfredo,Pasta,149.0,78,11622.0,80.0,2025-12-16,Mumbai
Penne Alfredo,Pasta,149.0,65,9685.0,80.0,2025-12-16,Delhi
Penne Alfredo,Pasta,189.0,37,6993.0,80.0,2025-12-16,Hyderabad
Penne Alfredo,Pasta,149.0,70,10430.0,80.0,2025-12-16,Pune
Chicken Biryani,Biryani,179.0,154,27566.0,100.0,2025-12-17,Chennai
Chicken Biryani,Biryani,189.0,124,23436.0,100.0,2025-12-17,Bangalore
Chicken Biryani,Biryani,189.0,83,15687.0,100.0,2025-12-17,Mumbai
Chicken Biryani,Biryani,209.0,86,17974.0,100.0,2025-12-17,Delhi
Chicken Biryani,Biryani,209.0,110,22990.0,100.0,2025-12-17,Hyderabad
Chicken Biryani,Biryani,209.0,83,17347.0,100.0,2025-12-17,Pune
Margherita Pizza,Pizza,239.0,93,22227.0,120.0,2025-12-17,Chennai
Margherita Pizza,Pizza,259.0,85,22015.0,120.0,2025-12-17,Bangalore
Margherita Pizza,Pizza,229.0,81,18549.0,120.0,2025-12-17,Mumbai
Margherita Pizza,Pizza,239.0,87,20793.0,120.0,2025-12-17,Delhi
Margherita Pizza,Pizza,259.0,39,10101.0,120.0,2025-12-17,Hyderabad
Margherita Pizza,Pizza,229.0,80,18320.0,120.0,2025-12-17,Pune
Veggie Burger,Burger,99.0,106,10494.0,45.0,2025-12-17,Chennai
Veggie Burger,Burger,89.0,103,9167.0,45.0,2025-12-17,Bangalore
Veggie Burger,Burger,99.0,138,13662.0,45.0,2025-12-17,Mumbai
Veggie Burger,Burger,89.0,100,8900.0,45.0,2025-12-17,Delhi
Veggie Burger,Burger,99.0,103,10197.0,45.0,2025-12-17,Hyderabad
Veggie Burger,Burger,109.0,99,10791.0,45.0,2025-12-17,Pune
Hakka Noodles,Chinese,139.0,77,10703.0,60.0,2025-12-17,Chennai
Hakka Noodles,Chinese,119.0,59,7021.0,60.0,2025-12-17,Bangalore
Hakka Noodles,Chinese,119.0,88,10472.0,60.0,2025-12-17,Mumbai
Hakka Noodles,Chinese,129.0,69,8901.0,60.0,2025-12-17,Delhi
Hakka Noodles,Chinese,119.0,64,7616.0,60.0,2025-12-17,Hyderabad
Hakka Noodles,Chinese,109.0,88,9592.0,60.0,2025-12-17,Pune
Salmon Sushi,Sushi,449.0,24,10776.0,220.0,2025-12-17,Chennai
Salmon Sushi,Sushi,449.0,21,9429.0,220.0,2025-12-17,Bangalore
Salmon Sushi,Sushi,409.0,25,10225.0,220.0,2025-12-17,Mumbai
Salmon Sushi,Sushi,429.0,23,9867.0,220.0,2025-12-17,Delhi
Salmon Sushi,Sushi,409.0,25,10225.0,220.0,2025-12-17,Hyderabad
Salmon Sushi,Sushi,409.0,27,11043.0,220.0,2025-12-17,Pune
Penne Alfredo,Pasta,189.0,57,10773.0,80.0,2025-12-17,Chennai
Penne Alfredo,Pasta,179.0,40,7160.0,80.0,2025-12-17,Bangalore
Penne Alfredo,Pasta,189.0,61,11529.0,80.0,2025-12-17,Mumbai
Penne Alfredo,Pasta,189.0,33,6237.0,80.0,2025-12-17,Delhi
Penne Alfredo,Pasta,159.0,56,8904.0,80.0,2025-12-17,Hyderabad
Penne Alfredo,Pasta,149.0,67,9983.0,80.0,2025-12-17,Pune
Chicken Biryani,Biryani,219.0,90,19710.0,100.0,2025-12-18,Chennai
Chicken Biryani,Biryani,179.0,106,18974.0,100.0,2025-12-18,Bangalore
Chicken Biryani,Biryani,189.0,104,19656.0,100.0,2025-12-18,Mumbai
Chicken Biryani,Biryani,179.0,108,19332.0,100.0,2025-12-18,Delhi
Chicken Biryani,Biryani,219.0,79,17301.0,100.0,2025-12-18,Hyderabad
Chicken Biryani,Biryani,179.0,132,23628.0,100.0,2025-12-18,Pune
Margherita Pizza,Pizza,239.0,92,21988.0,120.0,2025-12-18,Chennai
Margherita Pizza,Pizza,259.0,68,17612.0,120.0,2025-12-18,Bangalore
Margherita Pizza,Pizza,229.0,107,24503.0,120.0,2025-12-18,Mumbai
Margherita Pizza,Pizza,269.0,75,20175.0,120.0,2025-12-18,Delhi
Margherita Pizza,Pizza,239.0,98,23422.0,120.0,2025-12-18,Hyderabad
Margherita Pizza,Pizza,269.0,78,20982.0,120.0,2025-12-18,Pune
Veggie Burger,Burger,109.0,85,9265.0,45.0,2025-12-18,Chennai
Veggie Burger,Burger,69.0,162,11178.0,45.0,2025-12-18,Bangalore
Veggie Burger,Burger,109.0,109,11881.0,45.0,2025-12-18,Mumbai
Veggie Burger,Burger,69.0,193,13317.0,45.0,2025-12-18,Delhi
Veggie Burger,Burger,99.0,110,10890.0,45.0,2025-12-18,Hyderabad
Veggie Burger,Burger,109.0,99,10791.0,45.0,2025-12-18,Pune
Hakka Noodles,Chinese,149.0,70,10430.0,60.0,2025-12-18,Chennai
Hakka Noodles,Chinese,149.0,53,7897.0,60.0,2025-12-18,Bangalore
Hakka Noodles,Chinese,129.0,74,9546.0,60.0,2025-12-18,Mumbai
Hakka Noodles,Chinese,129.0,66,8514.0,60.0,2025-12-18,Delhi
Hakka Noodles,Chinese,119.0,72,8568.0,60.0,2025-12-18,Hyderabad
Hakka Noodles,Chinese,129.0,80,10320.0,60.0,2025-12-18,Pune
Salmon Sushi,Sushi,419.0,28,11732.0,220.0,2025-12-18,Chennai
Salmon Sushi,Sushi,429.0,27,11583.0,220.0,2025-12-18,Bangalore
Salmon Sushi,Sushi,439.0,28,12292.0,220.0,2025-12-18,Mumbai
Salmon Sushi,Sushi,419.0,25,10475.0,220.0,2025-12-18,Delhi
Salmon Sushi,Sushi,429.0,27,11583.0,220.0,2025-12-18,Hyderabad
Salmon Sushi,Sushi,439.0,23,10097.0,220.0,2025-12-18,Pune
Penne Alfredo,Pasta,169.0,56,9464.0,80.0,2025-12-18,Chennai
Penne Alfredo,Pasta,149.0,60,8940.0,80.0,2025-12-18,Bangalore
Penne Alfredo,Pasta,149.0,63,9387.0,80.0,2025-12-18,Mumbai
Penne Alfredo,Pasta,179.0,54,9666.0,80.0,2025-12-18,Delhi
Penne Alfredo,Pasta,189.0,41,7749.0,80.0,2025-12-18,Hyderabad
Penne Alfredo,Pasta,189.0,61,11529.0,80.0,2025-12-18,Pune
Chicken Biryani,Biryani,179.0,99,17721.0,100.0,2025-12-19,Chennai
Chicken Biryani,Biryani,179.0,96,17184.0,100.0,2025-12-19,Bangalore
Chicken Biryani,Biryani,219.0,101,22119.0,100.0,2025-12-19,Mumbai
Chicken Biryani,Biryani,189.0,121,22869.0,100.0,2025-12-19,Delhi
Chicken Biryani,Biryani,219.0,94,20586.0,100.0,2025-12-19,Hyderabad
Chicken Biryani,Biryani,199.0,109,21691.0,100.0,2025-12-19,Pune
Margherita Pizza,Pizza,239.0,88,21032.0,120.0,2025-12-19,Chennai
Margherita Pizza,Pizza,249.0,71,17679.0,120.0,2025-12-19,Bangalore
Margherita Pizza,Pizza,229.0,95,21755.0,120.0,2025-12-19,Mumbai
Margherita Pizza,Pizza,239.0,79,18881.0,120.0,2025-12-19,Delhi
Margherita Pizza,Pizza,249.0,94,23406.0,120.0,2025-12-19,Hyderabad
Margherita Pizza,Pizza,249.0,80,19920.0,120.0,2025-12-19,Pune
Veggie Burger,Burger,79.0,130,10270.0,45.0,2025-12-19,Chennai
Veggie Burger,Burger,99.0,105,10395.0,45.0,2025-12-19,Bangalore
